Soil,Autoclaving,treatment,variety,experiment,block,replication,date,count,aphid_count
Pea,No,NatPea,B73,greenhouse,NA,1,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,2,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,3,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,4,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,5,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,6,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,7,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,8,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,9,6/18/24,D1,10
Pea,No,NatPea,B73,greenhouse,NA,10,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,1,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,2,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,3,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,4,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,5,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,6,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,7,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,8,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,9,6/18/24,D1,10
Pea,Yes,AtPea,B73,greenhouse,NA,10,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,1,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,2,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,3,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,4,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,5,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,6,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,7,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,8,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,9,6/18/24,D1,10
Triticale,No,NatTrt,B73,greenhouse,NA,10,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,1,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,2,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,3,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,4,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,5,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,6,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,7,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,8,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,9,6/18/24,D1,10
Triticale,Yes,AtTrt,B73,greenhouse,NA,10,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,1,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,2,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,3,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,4,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,5,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,6,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,7,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,8,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,9,6/18/24,D1,10
Radish,No,NaRad,B73,greenhouse,NA,10,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,1,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,2,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,3,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,4,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,5,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,6,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,7,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,8,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,9,6/18/24,D1,10
Radish,Yes,AtRad,B73,greenhouse,NA,10,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,1,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,2,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,3,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,4,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,5,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,6,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,7,6/18/24,D1,10
Potting mix,No,NaPtm,B73,greenhouse,NA,8,6/18/24,D1,10
